#MitoChr	MitoPos	VarChr	VarPos	SupportedReads	MeanMappingQuality	Mito.gene	Mito.genedetail
MT	12216	MT	43348608	3	37	TRNS2	MTTS2:tRNA:12208-12266:(+)
MT	12251	MT	128594404	2	37	TRNS2	MTTS2:tRNA:12208-12266:(+)
MT	12272	MT	119559777	2	37	TRNL2	MTTL2:tRNA:12267-12337:(+)
MT	12298	MT	101795333	2	37	TRNL2	MTTL2:tRNA:12267-12337:(+)
MT	12321	MT	24211284	2	37	TRNL2	MTTL2:tRNA:12267-12337:(+)
MT	12433	MT	7829237	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	12434	MT	71411531	3	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	12461	MT	4903227	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	12472	MT	61433341	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	12482	MT	107910150	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	12491	MT	57409214	4	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	12501	MT	77799561	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	12511	MT	118676718	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	12549	MT	39587007	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	12646	MT	87675571	3	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	12679	MT	22636773	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	12688	MT	49311162	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	12704	MT	66707831	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	12734	MT	132692386	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	12758	MT	39832928	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	12766	MT	42697128	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	12781	MT	113802512	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	12782	MT	105151297	2	31	ND5	MTND5:mRNA:12338-14149:(+)
MT	12852	MT	140487247	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	129	MT	83454197	2	37		
MT	13016	MT	14095582	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	13021	MT	55604570	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	13040	MT	193093917	3	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	13052	MT	28652505	3	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	1312	MT	240308058	2	37	RNR1	MTRNR1:rRNA:650-1603:(+)
MT	13122	MT	119780375	3	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	1319	MT	53453234	2	37	RNR1	MTRNR1:rRNA:650-1603:(+)
MT	13220	MT	81495385	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	13267	MT	86591170	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	13335	MT	99979932	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	13411	MT	107973301	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	13439	MT	142272000	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	13516	MT	40570915	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	13519	MT	183603766	3	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	13547	MT	88747305	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	13693	MT	19469351	3	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	13733	MT	84732689	4	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	13760	MT	178740573	3	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	13861	MT	170663539	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	13866	MT	159015171	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	13885	MT	23702001	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	13908	MT	55564576	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	13964	MT	35369741	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	13969	MT	18283539	2	25	ND5	MTND5:mRNA:12338-14149:(+)
MT	13982	MT	40366702	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	14014	MT	7894229	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	14026	MT	162044521	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	14028	MT	42985567	3	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	1404	MT	171981740	3	23	RNR1	MTRNR1:rRNA:650-1603:(+)
MT	14056	MT	79974884	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	14097	MT	51887630	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	14097	MT	44282721	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	14102	MT	87072617	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	14123	MT	24671999	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	14132	MT	20652754	3	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	14134	MT	133663514	2	37	ND5	MTND5:mRNA:12338-14149:(+)
MT	14150	MT	65985088	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14155	MT	38406900	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14157	MT	52010758	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14182	MT	33330840	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14192	MT	179044440	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14219	MT	66362090	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14245	MT	162309865	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14256	MT	34418910	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14258	MT	5260069	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14258	MT	190283382	5	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14264	MT	14560055	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14291	MT	6438988	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14307	MT	37264955	4	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14309	MT	177491429	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14333	MT	137571749	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14342	MT	135098916	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14379	MT	110399256	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14389	MT	60067446	2	22.5	ND6	MTND6:mRNA:14150-14674:(-)
MT	14393	MT	85280166	3	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14393	MT	125862721	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14399	MT	133760726	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14409	MT	43591704	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14410	MT	426912	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14417	MT	161143431	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14453	MT	156922708	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14514	MT	22148663	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14647	MT	183486742	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14652	MT	1017052	3	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14669	MT	151236100	3	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14673	MT	81572045	2	37	ND6	MTND6:mRNA:14150-14674:(-)
MT	14676	MT	239141396	3	37	TRNE	MTTE:tRNA:14675-14743:(-)
MT	14702	MT	159100019	2	37	TRNE	MTTE:tRNA:14675-14743:(-)
MT	14718	MT	152112018	2	37	TRNE	MTTE:tRNA:14675-14743:(-)
MT	14739	MT	103294360	2	37	TRNE	MTTE:tRNA:14675-14743:(-)
MT	14743	MT	81858824	2	37	TRNE	MTTE:tRNA:14675-14743:(-)
MT	14768	MT	43602642	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	14798	MT	109754569	3	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	14839	MT	80965689	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	14871	MT	65334387	3	32.3333333333333	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	14895	MT	167403234	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	14895	MT	72361838	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	14911	MT	69129697	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	14917	MT	82690709	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	14922	MT	33533193	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	14936	MT	39838007	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	14952	MT	10783779	3	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	14967	MT	29639264	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	14973	MT	152129345	3	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	14977	MT	10059615	3	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	1521	MT	20311516	2	23	RNR1	MTRNR1:rRNA:650-1603:(+)
MT	15288	MT	56423976	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15326	MT	131442391	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15343	MT	209944763	3	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15351	MT	120476172	3	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15376	MT	38818127	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15386	MT	31050459	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15407	MT	32405675	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15422	MT	82044706	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15466	MT	196032031	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15490	MT	170818236	3	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15539	MT	80410486	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15562	MT	157731236	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15564	MT	3785302	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15566	MT	98795466	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15577	MT	112331741	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15594	MT	73007832	3	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	156	MT	13706983	2	37		
MT	15626	MT	49093574	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15635	MT	107157488	4	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15642	MT	42971738	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15647	MT	158019033	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15685	MT	50338704	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15685	MT	49556438	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15776	MT	101525535	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15834	MT	182173073	3	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15868	MT	98228862	2	37	CYTB	MTCYB:mRNA:14748-15882:(+)
MT	15897	MT	25827656	2	37	TRNT	MTTT:tRNA:15889-15954:(+)
MT	15901	MT	46117248	2	37	TRNT	MTTT:tRNA:15889-15954:(+)
MT	15932	MT	128975728	2	37	TRNT	MTTT:tRNA:15889-15954:(+)
MT	15977	MT	222806194	2	37	TRNP	MTTP:tRNA:15956-16024:(-)
MT	15987	MT	31250820	2	37	TRNP	MTTP:tRNA:15956-16024:(-)
MT	16018	MT	34113630	3	37	TRNP	MTTP:tRNA:15956-16024:(-)
MT	1602	MT	32072343	2	37	RNR1	MTRNR1:rRNA:650-1603:(+)
MT	16024	MT	102280746	2	37	TRNP	MTTP:tRNA:15956-16024:(-)
MT	16056	MT	158463938	2	37		
MT	16057	MT	121392634	2	37		
MT	16063	MT	58811085	2	37		
MT	16120	MT	43206276	3	37		
MT	1615	MT	243167246	2	31	TRNV	MTTV:tRNA:1604-1672:(+)
MT	16182	MT	135926332	3	37		
MT	16194	MT	9010958	2	37		
MT	16227	MT	51374335	2	37		
MT	16229	MT	67764568	2	25		
MT	16240	MT	28380833	2	37		
MT	16250	MT	119938190	2	37		
MT	16257	MT	59373563	2	37		
MT	16258	MT	79954746	4	37		
MT	16348	MT	6980615	2	37		
MT	16349	MT	24516383	2	37		
MT	16377	MT	101091008	3	37		
MT	16401	MT	14353252	2	37		
MT	16454	MT	23999418	3	37		
MT	1666	MT	43488016	2	37	TRNV	MTTV:tRNA:1604-1672:(+)
MT	1749	MT	160741741	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	1756	MT	186281362	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	1788	MT	47408647	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	1799	MT	5609611	3	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	1814	MT	58302339	3	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	1881	MT	63525562	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	1881	MT	175892782	4	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	1882	MT	41615538	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	1927	MT	115391195	3	27.6666666666667	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	1945	MT	59409450	2	23	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	1946	MT	7916541	3	23	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	1960	MT	49323483	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2088	MT	155632241	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2148	MT	142435648	6	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2168	MT	86434336	3	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2179	MT	91796244	3	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2233	MT	65891075	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2240	MT	108698392	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2252	MT	171041986	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2280	MT	120181659	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2289	MT	148880612	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2302	MT	43025250	3	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2303	MT	63586948	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2329	MT	118342588	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2330	MT	41476530	3	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2334	MT	109747703	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2336	MT	138265174	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2347	MT	129858225	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2389	MT	125431554	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2472	MT	94213012	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2504	MT	90259631	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2516	MT	22020479	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2535	MT	186031615	4	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2639	MT	113631024	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2700	MT	44046897	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2701	MT	189248400	3	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2747	MT	152992197	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2860	MT	88779528	5	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2865	MT	13627653	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2926	MT	79665492	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	2959	MT	139809017	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	3011	MT	68848295	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	3021	MT	170071230	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	3031	MT	50808391	3	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	3042	MT	113553372	3	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	3195	MT	152601128	3	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	3203	MT	55289946	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	3223	MT	47084176	2	37	RNR2	MTRNR2:rRNA:1673-3230:(+)
MT	3253	MT	152878453	2	37	TRNL1	MTTL1:tRNA:3231-3305:(+)
MT	3293	MT	49473486	5	37	TRNL1	MTTL1:tRNA:3231-3305:(+)
MT	3298	MT	134889638	2	37	TRNL1	MTTL1:tRNA:3231-3305:(+)
MT	3329	MT	33139317	2	37	ND1	MTND1:mRNA:3308-4264:(+)
MT	3340	MT	13234705	2	37	ND1	MTND1:mRNA:3308-4264:(+)
MT	3409	MT	125274764	2	37	ND1	MTND1:mRNA:3308-4264:(+)
MT	3432	MT	170883343	2	37	ND1	MTND1:mRNA:3308-4264:(+)
MT	346	MT	1774871	2	37		
MT	3530	MT	4551848	2	37	ND1	MTND1:mRNA:3308-4264:(+)
MT	3630	MT	258898	2	37	ND1	MTND1:mRNA:3308-4264:(+)
MT	3664	MT	184429282	3	37	ND1	MTND1:mRNA:3308-4264:(+)
MT	3725	MT	77588017	2	37	ND1	MTND1:mRNA:3308-4264:(+)
MT	3746	MT	223285338	2	37	ND1	MTND1:mRNA:3308-4264:(+)
MT	3800	MT	37185240	2	37	ND1	MTND1:mRNA:3308-4264:(+)
MT	4015	MT	103274072	2	37	ND1	MTND1:mRNA:3308-4264:(+)
MT	4237	MT	76000898	2	37	ND1	MTND1:mRNA:3308-4264:(+)
MT	4295	MT	104884750	2	37	TRNI	MTTI:tRNA:4264-4332:(+)
MT	430	MT	46265687	2	37		
MT	4357	MT	17204126	2	23	TRNQ	MTTQ:tRNA:4330-4401:(-)
MT	4372	MT	27078272	2	23	TRNQ	MTTQ:tRNA:4330-4401:(-)
MT	4414	MT	18198809	2	23	TRNM	MTTM:tRNA:4403-4470:(+)
MT	4653	MT	153414326	2	23	ND2	MTND2:mRNA:4471-5512:(+)
MT	475	MT	102891761	2	37		
MT	4802	MT	45209754	2	23	ND2	MTND2:mRNA:4471-5512:(+)
MT	4805	MT	32709061	2	30	ND2	MTND2:mRNA:4471-5512:(+)
MT	4935	MT	219602675	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	4964	MT	58235381	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	4965	MT	204131290	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	4965	MT	207299066	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	4968	MT	565240	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5025	MT	31762572	2	23	ND2	MTND2:mRNA:4471-5512:(+)
MT	5032	MT	9006237	2	23	ND2	MTND2:mRNA:4471-5512:(+)
MT	5048	MT	137982429	2	23	ND2	MTND2:mRNA:4471-5512:(+)
MT	5074	MT	154507006	3	23	ND2	MTND2:mRNA:4471-5512:(+)
MT	5098	MT	22396641	2	23	ND2	MTND2:mRNA:4471-5512:(+)
MT	5101	MT	90605799	2	23	ND2	MTND2:mRNA:4471-5512:(+)
MT	5141	MT	53655785	2	23	ND2	MTND2:mRNA:4471-5512:(+)
MT	5143	MT	50950414	2	23	ND2	MTND2:mRNA:4471-5512:(+)
MT	5255	MT	6195272	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5256	MT	176561798	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5276	MT	166684781	4	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5278	MT	57019037	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5290	MT	145235137	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5301	MT	78430467	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5301	MT	132843524	3	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5301	MT	36051976	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5303	MT	42452817	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5336	MT	15111392	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5341	MT	60994506	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5352	MT	219706319	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5370	MT	162362610	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5375	MT	158605806	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5386	MT	79229247	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5392	MT	53316816	3	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5393	MT	47384220	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5414	MT	87038462	3	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5418	MT	15344073	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5439	MT	24873359	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5445	MT	48117465	4	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5450	MT	128628085	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5456	MT	5776681	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5477	MT	568784	2	23	ND2	MTND2:mRNA:4471-5512:(+)
MT	5484	MT	160879386	2	37	ND2	MTND2:mRNA:4471-5512:(+)
MT	5515	MT	13876255	3	23	TRNW	MTTW:tRNA:5513-5580:(+)
MT	5543	MT	89154598	2	23	TRNW	MTTW:tRNA:5513-5580:(+)
MT	5554	MT	158815682	3	23	TRNW	MTTW:tRNA:5513-5580:(+)
MT	565	MT	20083728	2	37		
MT	5752	MT	164442718	2	37		
MT	5794	MT	120844214	3	37	TRNC	MTTC:tRNA:5762-5827:(-)
MT	5813	MT	149202743	3	37	TRNC	MTTC:tRNA:5762-5827:(-)
MT	5819	MT	17311854	2	37	TRNC	MTTC:tRNA:5762-5827:(-)
MT	5823	MT	25470308	2	23	TRNC	MTTC:tRNA:5762-5827:(-)
MT	590	MT	17191066	2	37	TRNF	MTTF:tRNA:579-649:(+)
MT	594	MT	3796713	3	37	TRNF	MTTF:tRNA:579-649:(+)
